                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0846,                0.98147,                 1.3024,                 0.8164,                0.71375,                0.78383,                0.48014,                 1.4123,                 1.0625,                 1.6341,              0.0059775,              0.0059775,              0.0059775
                     46,                 1.1021,                0.98755,                 1.2938,                 0.8392,                0.73695,                0.83496,                 0.5221,                 1.3256,                0.93272,                 1.5315,              0.0058244,              0.0058244,              0.0058244
                     47,                 1.0906,                0.98244,                 1.2998,                0.72612,                0.65513,                 0.7185,                0.41264,                 1.4504,                 1.0769,                  1.687,              0.0056704,              0.0056704,              0.0056704
                     48,                  1.072,                0.96127,                  1.287,                0.81787,                0.72189,                0.80829,                 0.5005,                  1.383,                 1.0476,                 1.6062,              0.0055158,              0.0055158,              0.0055158
                     49,                 1.0626,                0.95658,                 1.2865,                0.83072,                0.76465,                0.84116,                0.53687,                 1.3805,                 1.0285,                 1.5851,              0.0053608,              0.0053608,              0.0053608
                     50,                 1.0718,                0.95181,                 1.2857,                0.84881,                0.72938,                0.81824,                0.52131,                 1.3985,                0.99341,                 1.6125,              0.0052055,              0.0052055,              0.0052055
                     51,                 1.0421,                0.92915,                 1.2583,                0.76368,                0.63519,                0.74174,                0.42421,                 1.5924,                  1.122,                 1.7544,                0.00505,                0.00505,                0.00505
                     52,                  1.014,                0.89288,                 1.2539,                0.86708,                0.75613,                0.84534,                0.55541,                 1.2564,                0.91698,                 1.5395,              0.0048945,              0.0048945,              0.0048945
                     53,                 1.0135,                0.93022,                 1.2574,                0.81362,                0.72732,                0.81737,                0.52612,                 1.2692,                0.98243,                 1.5002,              0.0047392,              0.0047392,              0.0047392
                     54,                 1.0192,                0.92274,                 1.2587,                0.78827,                0.75493,                0.80683,                0.48582,                  1.352,                  1.082,                 1.6036,              0.0045842,              0.0045842,              0.0045842
                     55,                  1.031,                0.90976,                 1.2527,                0.89177,                0.75719,                0.86064,                0.52638,                 1.4411,                0.89326,                 1.6201,              0.0044296,              0.0044296,              0.0044296
                     56,                 1.0063,                0.90396,                 1.2454,                0.74943,                0.67432,                0.76989,                0.47164,                 1.4176,                 1.0922,                 1.5824,              0.0042756,              0.0042756,              0.0042756
                     57,                 1.0016,                0.87795,                 1.2388,                0.79886,                0.77952,                0.83691,                0.53938,                 1.2553,                0.86993,                 1.4893,              0.0041225,              0.0041225,              0.0041225
